R,G,I,F
1,2,53,9601195.231757741
1,2,54,9769861.138206536
1,2,55,9723093.41621447
1,2,56,9639658.610284632
1,2,57,9767847.564706067
1,2,58,9813285.040854024
1,2,59,9765550.95993644
1,2,60,9420680.591146382
1,2,61,9733424.73987928
1,2,62,9582032.702597255
1,2,63,9676072.198153052
1,2,64,9557692.271465432
1,2,65,9634515.90491531
1,2,66,9613381.223526597
1,2,67,9654743.353422744
1,2,68,9633360.754584087
1,2,69,9446753.265543256
1,2,70,9577982.301076498
1,2,71,9632440.846407294
1,2,72,9639998.046660371
1,2,73,9588934.84981991
1,2,74,9643382.204829361
1,2,75,9626308.55660622
1,2,76,9402000.679892909
1,2,77,9579467.416920617
1,2,78,9711708.940951003
1,2,79,9542139.349443402
1,2,80,9600695.298295388
1,2,81,9513731.764072599
1,2,82,9551807.785747288
1,2,83,9656580.80611919
1,2,84,9767847.564706067
1,2,85,9613381.223526597
1,2,86,9719048.902934005
1,2,87,9503548.358211767
1,2,88,9660001.516417658
1,2,89,9663458.696815081
1,2,90,9714320.53043848
1,2,91,9658033.625619283
1,2,92,9652062.515955718
1,2,93,9610092.65697279
1,2,94,9661959.831436401
1,2,95,9625596.748265147
1,2,96,9563285.134001791
1,2,97,9616466.922689239
1,2,98,9666628.183077455
1,2,99,9623292.111178052
1,3,0,9513731.764072599
1,3,1,9663458.696815081
1,3,2,9706415.180166937
1,3,3,9578613.206225714
1,3,4,9475863.349020056
1,3,5,9504051.03668953
1,3,6,9585445.656658256
1,3,7,9553029.299733654
1,3,8,9603030.861648712
1,3,9,9712976.898158664
1,3,10,9661959.831436401
1,3,11,9760145.926280335
1,3,12,9644455.319782995
1,3,13,9672907.798111454
1,3,14,9831811.114691138
1,3,15,9652156.811568912
1,3,16,9383592.955971451
1,3,17,9487715.4604337
1,3,18,9599133.965730201
1,3,19,9668256.75733569
1,3,20,9856210.921372294
1,3,21,9832785.63517603
1,3,22,9384718.392151002
1,3,23,9481878.683096208
1,3,24,9679533.857767211
1,3,25,9769861.138206536
1,3,26,9528496.255880078
1,3,27,9557692.271465432
1,3,28,9630617.462166324
1,3,29,9567160.862319479
1,3,30,9535307.823180184
1,3,31,9621304.590264123
1,3,32,9759914.16846028
1,3,33,9588629.850560596
1,3,34,9491003.184352051
1,3,35,9556441.724120528
1,3,36,9560334.546074953
1,3,37,9502633.654197922
1,3,38,9622508.007400956
1,3,39,9777329.726158261
1,3,40,9508995.26939184
1,3,41,9642994.766502088
1,3,42,9635269.694931056
1,3,43,9347411.866201876
1,3,44,9528496.255880078
1,3,45,9420680.591146382
1,3,46,9446753.265543256
1,3,47,9602893.773665655
1,3,48,9357247.272771042
1,3,49,9548228.094856165
1,3,50,9719048.902934005
1,3,51,9542139.349443402
1,3,52,9462689.909097077
1,3,53,9435916.199285954
1,3,54,9589262.45724994
1,3,55,9676592.755355654
1,3,56,9617240.403693577
1,3,57,9550810.436625838
1,3,58,9678934.59767027
1,3,59,9628439.070412567
1,3,60,9691992.457471201
1,3,61,9610923.937405625
1,3,62,9601195.231757741
1,3,63,9617208.347273842
1,3,64,9582032.702597255
1,3,65,9626308.55660622
1,3,66,9538969.610799477
1,3,67,9645432.44454509
1,3,68,9582032.702597255
1,3,69,9710006.280648623
1,3,70,9813761.345468583
1,3,71,9789716.271894708
1,3,72,9506612.613599086
1,3,73,9562278.76440116
1,3,74,9605787.892676989
1,3,75,9610839.419156589
1,3,76,9501856.742013382
1,3,77,9365521.483062834
1,3,78,9634692.419987576
1,3,79,9608149.287525246
1,3,80,9633060.899665097
1,3,81,9537680.00595461
1,3,82,9661959.831436401
1,3,83,9533786.199062828
1,3,84,9599133.965730201
1,3,85,9585855.300788514
1,3,86,9767882.597175486
1,3,87,9658601.228502765
1,3,88,9628503.927715408
1,3,89,9490019.524750087
1,3,90,9628488.978788698
1,3,91,9706682.195723495
1,3,92,9563181.808797807
1,3,93,9584613.748943403
1,3,94,9730054.183242189
1,3,95,9632589.110031722
1,3,96,9579467.416920617
1,3,97,9813285.040854024
1,3,98,9786716.559533902
1,3,99,9783333.097250296
1,4,0,9448471.715815483
1,4,1,9267619.810387826
1,4,2,9519591.936372088
1,4,3,9453422.300014144
1,4,4,9535307.823180184
1,4,5,9347411.866201876
1,4,6,9584192.580492143
1,4,7,9580416.08490784
1,4,8,9513196.012376593
1,4,9,9347907.330404479
1,4,10,9584780.083341569
1,4,11,9319581.51264358
1,4,12,9542139.349443402
1,4,13,9383592.955971451
1,4,14,9537680.00595461
1,4,15,9506612.613599086
1,4,16,9544660.980726942
1,4,17,9433923.995692693
1,4,18,9656072.89128337
1,4,19,9608715.128696434
1,4,20,9582032.702597255
1,4,21,9365521.483062834
1,4,22,9357247.272771042
1,4,23,9628488.978788698
1,4,24,9365894.562096296
1,4,25,9450979.594103204
1,4,26,9491329.04972163
1,4,27,9505982.568462033
1,4,28,9722497.19003804
1,4,29,9657211.432386082
1,4,30,9608149.287525246
1,4,31,9556441.724120528
1,4,32,9569933.319615314
1,4,33,9589127.865946181
1,4,34,9486530.564309014
1,4,35,9498945.660812344
1,4,36,9528496.255880078
1,4,37,9575016.97274627
1,4,38,9474292.918708572
1,4,39,9342091.582271578
1,4,40,9462689.909097077
1,4,41,9585855.300788514
1,4,42,9576881.08106257
1,4,43,9521806.032935617
1,4,44,9836097.744031746
1,4,45,9781663.769706072
1,4,46,9420680.591146382
1,4,47,9490019.524750087
1,4,48,9569601.63419495
1,4,49,9457070.628799774
1,4,50,9696673.510520952
1,4,51,9806407.491840752
1,4,52,9502633.654197922
1,4,53,9610923.937405625
1,4,54,9555416.403133996
1,4,55,9496690.268665694
1,4,56,9622508.007400956
1,4,57,9661959.831436401
1,4,58,9578613.206225714
1,4,59,9475863.349020056
1,4,60,9326658.839308895
1,4,61,9447839.65218682
1,4,62,9556081.225533476
1,4,63,9602492.796539806
1,4,64,9484164.937768685
1,4,65,9515992.935888547
1,4,66,9365521.483062834
1,4,67,9710006.280648623
1,4,68,9639540.133563723
1,4,69,9536041.783818087
1,4,70,9630683.927488783
1,4,71,9338355.674016485
1,4,72,9645283.457822217
1,4,73,9423593.33111339
1,4,74,9790271.445678608
1,4,75,9637304.488052065
1,4,76,9685284.621627763
1,4,77,9741983.71306172
1,4,78,9789560.767734207
1,4,79,9664086.701408753
1,4,80,9582087.31523138
1,4,81,9790769.819820471
1,4,82,9481878.683096208
1,4,83,9384718.392151002
1,4,84,9487715.4604337
1,4,85,9579467.416920617
1,4,86,9572270.30641043
1,4,87,9607642.907726137
1,4,88,9406165.624206405
1,4,89,9576616.905230118
1,4,90,9806512.93248735
1,4,91,9567836.347684413
1,4,92,9481878.683096208
1,4,93,9585445.656658256
1,4,94,9651563.874337928
1,4,95,9599718.061017197
1,4,96,9549884.24064681
1,4,97,9368743.35329678
1,4,98,9373880.511562565
1,4,99,9461712.259492898
1,5,0,9469434.321218302
1,5,1,9561316.11583054
1,5,2,9606187.366368495
1,5,3,9655287.399203079
1,5,4,9458350.159745298
1,5,5,9520264.653236218
1,5,6,9502633.654197922
1,5,7,9579467.416920617
1,5,8,9326658.839308895
1,5,9,9368743.35329678
1,5,10,9549342.082460525
1,5,11,9509006.533899194
1,5,12,9542139.349443402
1,5,13,9326658.839308895
1,5,14,9493998.848805908
1,5,15,9288915.792787587
1,5,16,9541305.447002143
1,5,17,9420985.776876425
1,5,18,9494811.56007809
1,5,19,9515760.148001084
1,5,20,9435836.235153776
1,5,21,9527818.510392366
1,5,22,9575659.33711983
1,5,23,9429891.876955593
1,5,24,9530401.354866162
1,5,25,9331554.850552473
1,5,26,9491636.32215799
1,5,27,9379996.343712611
1,5,28,9535307.823180184
1,5,29,9790769.819820471
1,5,30,9392291.675943779
1,5,31,9475299.74590254
1,5,32,9357247.272771042
1,5,33,9722497.19003804
1,5,34,9448471.715815483
1,5,35,9383592.955971451
1,5,36,9537161.496881858
1,5,37,9514942.403338779
1,5,38,9480451.449451089
1,5,39,9512700.973460957
1,5,40,9537680.00595461
1,5,41,9484164.937768685
1,5,42,9368743.35329678
1,5,43,9338355.674016485
1,5,44,9490244.006464647
1,5,45,9586935.325842427
1,5,46,9440750.147521388
1,5,47,9501334.598999381
1,5,48,9626164.201965408
1,5,49,9444955.729883732
1,5,50,9497977.391575411
1,5,51,9532988.489188109
1,5,52,9450979.594103204
1,5,53,9515992.935888547
1,5,54,9471946.163303165
1,5,55,9391706.067004822
1,5,56,9505982.568462033
1,5,57,9365894.562096296
1,5,58,9584780.083341569
1,5,59,9319581.51264358
1,5,60,9543941.890472464
1,5,61,9471758.571548471
1,5,62,9544493.675085176
1,5,63,9483485.771811942
1,5,64,9566359.025483726
1,5,65,9441427.317884995
1,5,66,9354567.703020785
1,5,67,9426595.789263662
1,5,68,9447839.65218682
1,5,69,9342091.582271578
1,5,70,9372380.271796934
1,5,71,9340868.906518687
1,5,72,9453422.300014144
1,5,73,9457070.628799774
1,5,74,9448747.50233001
1,5,75,9393012.705410197
1,5,76,9515992.935888547
1,5,77,9555416.403133996
1,5,78,9365521.483062834
1,5,79,9487715.4604337
1,5,80,9412615.049635006
1,5,81,9502522.394942267
1,5,82,9569601.63419495
1,5,83,9420680.591146382
1,5,84,9318515.764804807
1,5,85,9376814.72992735
1,5,86,9578613.206225714
1,5,87,9357247.272771042
1,5,88,9373880.511562565
1,5,89,9585855.300788514
1,5,90,9677267.024197802
1,5,91,9509424.932858752
1,5,92,9373880.511562565
1,5,93,9319581.51264358
1,5,94,9622508.007400956
1,5,95,9267619.810387826
1,5,96,9597986.486085342
1,5,97,9451156.231590958
1,5,98,9582466.128627848
1,5,99,9371445.66184747
1,6,0,9318515.764804807
1,6,1,9453422.300014144
1,6,2,9551480.546026202
1,6,3,9368906.32780247
1,6,4,9456795.261727946
1,6,5,9336452.053323079
1,6,6,9373880.511562565
1,6,7,9267619.810387826
1,6,8,9489842.699343696
1,6,9,9477604.250345599
1,6,10,9523751.478083048
1,6,11,9596578.852854477
1,6,12,9442591.04003132
1,6,13,9455912.838589597
1,6,14,9412733.181083038
1,6,15,9429434.28995304
1,6,16,9395641.699783677
1,6,17,9460516.970086984
1,6,18,9441427.317884995
1,6,19,9368743.35329678
1,6,20,9340868.906518687
1,6,21,9365894.562096296
1,6,22,9582466.128627848
1,6,23,9483485.771811942
1,6,24,9543257.593670571
1,6,25,9387263.521639373
1,6,26,9372380.271796934
1,6,27,9471946.163303165
1,6,28,9481958.48840558
1,6,29,9348939.071517807
1,6,30,9637393.004612623
1,6,31,9547982.340378687
1,6,32,9601834.334864322
1,6,33,9556250.993992977
1,6,34,9260769.900298977
1,6,35,9344173.215089912
