R,G,I,F
1,6,20,28695.55523939714
1,6,21,28218.08239014107
1,6,22,29433.04720080802
1,6,23,27959.23429315913
1,6,24,30870.584142408294
1,6,25,30129.764647933876
1,6,26,29812.111059632254
1,6,27,28465.33226473807
1,6,28,29292.28733600245
1,6,29,29208.054707565694
1,6,30,27366.096960207662
1,6,31,26990.736996339743
1,6,32,27855.725802858833
1,6,33,29279.138379976728
1,6,34,23763.61733654096
1,6,35,29336.087293603807
1,6,36,27546.247592113406
1,6,37,29692.631681276976
1,6,38,29625.29221515819
1,6,39,28893.947669750858
1,6,40,27231.164162545923
1,6,41,28637.067207470238
1,6,42,29499.30382581103
1,6,43,29217.547661911056
1,6,44,29901.940971561602
1,6,45,29339.25356494257
1,6,46,29083.007032814803
1,6,47,29562.23397810722
1,6,48,29515.38450087357
1,6,49,27920.41284057329
1,6,50,30175.980237398144
1,6,51,29711.286612027536
1,6,52,29882.028329407654
1,6,53,30448.222083825145
1,6,54,27855.087123903646
1,6,55,30227.947531531485
1,6,56,29910.640616831683
1,6,57,29075.01630942629
1,6,58,29098.324565899497
1,6,59,30175.980237398144
1,6,60,28584.901384909557
1,6,61,29227.61657662847
1,6,62,28479.769798026373
1,6,63,29227.30441279043
1,6,64,29733.483053050633
1,6,65,27556.620361675923
1,6,66,31161.009853599808
1,6,67,29333.911155040885
1,6,68,28624.500982030087
1,6,69,27494.34482249662
1,6,70,29793.31944882754
1,6,71,29718.50196605432
1,6,72,30262.846448071683
1,6,73,30309.651064540543
1,6,74,28915.29943146087
1,6,75,30211.397552475537
1,6,76,29920.998518432425
1,6,77,30967.801697719016
1,6,78,27563.882198003634
1,6,79,29489.647883047324
1,6,80,26592.24544266599
1,6,81,27348.84717414932
1,6,82,31414.71850081746
1,6,83,30040.912042636883
1,6,84,29295.242497756444
1,6,85,28533.513382786427
1,6,86,30579.845645860845
1,6,87,31028.7822296095
1,6,88,29510.90664799281
1,6,89,30523.009345161925
1,6,90,28873.04942232093
1,6,91,28797.539951221584
1,6,92,28500.581636546376
1,6,93,28606.479191586262
1,6,94,28948.5717635727
1,6,95,29204.019516873464
1,6,96,29382.035341630115
1,6,97,29356.122963362894
1,6,98,28757.746997917664
1,6,99,28395.671634137663
1,7,0,28619.61528372722
1,7,1,27210.174951391935
1,7,2,29558.571914974484
1,7,3,28195.36096039109
1,7,4,28374.829234516903
1,7,5,28140.704273854382
1,7,6,28634.597851553135
1,7,7,30255.912844762406
1,7,8,27140.83182218243
1,7,9,27547.39992646219
1,7,10,29105.375350354483
1,7,11,29711.286612027536
1,7,12,30135.86268307708
1,7,13,31263.061013283776
1,7,14,28053.991049630364
1,7,15,29902.54009312411
1,7,16,28584.901384909557
1,7,17,30226.546829420127
1,7,18,29939.80492120157
1,7,19,29943.831604820793
1,7,20,28439.687025131592
1,7,21,29101.741396514797
1,7,22,30511.725783382048
1,7,23,30262.846448071683
1,7,24,29702.381825234213
1,7,25,28004.295478689277
1,7,26,28463.3966413888
1,7,27,29335.382485592138
1,7,28,27753.737593777652
1,7,29,30039.878589283584
1,7,30,30786.518417765747
1,7,31,28426.993283402204
1,7,32,31190.374142828547
1,7,33,30175.724206671963
1,7,34,28487.618395888752
1,7,35,28570.98085742596
1,7,36,29148.71078380479
1,7,37,31458.131965157234
1,7,38,29982.344974047035
1,7,39,26907.691238755488
1,7,40,28004.56311354361
1,7,41,27411.82065321431
1,7,42,28324.499807066633
1,7,43,28307.809494445282
1,7,44,30215.485334978443
1,7,45,28501.830757678646
1,7,46,29044.58436572118
1,7,47,30113.39196768012
1,7,48,27995.728321056267
1,7,49,29920.998518432425
1,7,50,28567.559974765263
1,7,51,30006.554113943264
1,7,52,29571.790935424764
1,7,53,28943.53855056295
1,7,54,27785.59395366435
1,7,55,30164.498527912638
1,7,56,31353.708225963215
1,7,57,28947.500013761233
1,7,58,28754.955357719096
1,7,59,29030.48588070037
1,7,60,30457.67568354032
1,7,61,28954.102108231895
1,7,62,29905.893690498124
1,7,63,28103.900959393457
1,7,64,30298.568642349248
1,7,65,28014.580846402438
1,7,66,28295.0464816883
1,7,67,28042.64161979868
1,7,68,29180.81597141982
1,7,69,29544.35966374886
1,7,70,29493.306684477553
1,7,71,26442.52079824096
1,7,72,27893.123936274438
1,7,73,29955.258945716603
1,7,74,28848.156282500502
1,7,75,29273.010204203078
1,7,76,28395.63559922718
1,7,77,29691.177585041038
1,7,78,28118.708611905855
1,7,79,27852.311921913875
1,7,80,29988.763540679418
1,7,81,31380.865545859342
1,7,82,28140.082392836626
1,7,83,29797.02360944292
1,7,84,28060.069508161712
1,7,85,29348.843221138093
1,7,86,27690.516096766452
1,7,87,28371.792191547418
1,7,88,29183.05299522385
1,7,89,27928.442664309325
1,7,90,28449.836988695486
1,7,91,29800.800056855038
1,7,92,31367.900474285976
1,7,93,30101.81492094005
1,7,94,28236.145512829065
1,7,95,28274.219238954578
1,7,96,28679.036013654746
1,7,97,29887.31936679276
1,7,98,27418.09471752139
1,7,99,29966.192895003776
1,8,0,28140.082392836626
1,8,1,29784.646590832835
1,8,2,28395.474094624296
1,8,3,29936.29633664712
1,8,4,29950.408258842577
1,8,5,29064.01257851531
1,8,6,30206.103346099004
1,8,7,30171.55435452878
1,8,8,30657.946809061785
1,8,9,28820.475416037156
1,8,10,28618.7965939931
1,8,11,29022.633658649633
1,8,12,30135.302957156084
1,8,13,26884.580501384095
1,8,14,28086.08563981901
1,8,15,27261.21706067517
1,8,16,29843.05807234213
1,8,17,30740.85359913134
1,8,18,30112.733275541035
1,8,19,30279.197990854656
1,8,20,29966.192895003776
1,8,21,28439.687025131592
1,8,22,30973.30277008928
1,8,23,29516.47621788023
1,8,24,28715.966870769666
1,8,25,29651.960876393514
1,8,26,29060.373532422625
1,8,27,29028.01844842554
1,8,28,29750.6549862573
1,8,29,30511.725783382048
1,8,30,29493.306684477553
1,8,31,27583.241949821924
1,8,32,28054.739345884518
1,8,33,28722.027881588714
1,8,34,28829.94333175488
1,8,35,27430.17943279671
1,8,36,28519.943513429513
1,8,37,28191.547946907966
1,8,38,30330.736110342117
1,8,39,29317.299955476446
1,8,40,29905.893690498124
1,8,41,27441.191585059212
1,8,42,29248.83729555471
1,8,43,28620.931047436203
1,8,44,29044.58436572118
1,8,45,28754.955357719096
1,8,46,30341.546632808924
1,8,47,30299.934169556636
1,8,48,30005.225956652856
1,8,49,28807.274701249687
1,8,50,30276.463599489944
1,8,51,28042.62097458315
1,8,52,27440.872522602076
1,8,53,29065.474171576952
1,8,54,28040.52189155581
1,8,55,28858.90205542923
1,8,56,28786.993148699974
1,8,57,26512.329892463644
1,8,58,29530.561629320462
1,8,59,30443.346051217242
1,8,60,27796.254705458734
1,8,61,29199.76316508015
1,8,62,29749.296579002497
1,8,63,28670.600425704855
1,8,64,29751.24036746482
1,8,65,30136.46552707651
1,8,66,27785.59395366435
1,8,67,30614.099733885774
1,8,68,28950.461200170874
1,8,69,30292.740348837677
1,8,70,29197.770693972274
1,8,71,30484.337739120292
1,8,72,25684.906241388027
1,8,73,30600.186086241043
1,8,74,28414.78840893465
1,8,75,28938.26098609319
1,8,76,29939.80492120157
1,8,77,31458.131965157234
1,8,78,28801.597158656492
1,8,79,29214.051742613887
1,8,80,28641.386916350988
1,8,81,30121.66633716116
1,8,82,31263.061013283776
1,8,83,29905.893690498124
1,8,84,30087.197249797817
1,8,85,29180.81597141982
1,8,86,30322.576910423642
1,8,87,28528.036208949045
1,8,88,29604.688460819394
1,8,89,27728.892215596585
1,8,90,30005.318069095978
1,8,91,29123.918465045666
1,8,92,28745.69369781908
1,8,93,28883.876669230474
1,8,94,27758.420883031406
1,8,95,28643.565023469113
1,8,96,28897.97917048083
1,8,97,29665.78845236569
1,8,98,29288.769664887917
1,8,99,30027.745276287693
1,9,0,28732.812806864542
1,9,1,28588.376660338818
1,9,2,30324.711277555045
1,9,3,30491.529057423442
1,9,4,27060.017639159138
1,9,5,29962.14772098998
1,9,6,29905.893690498124
1,9,7,28946.45873686266
1,9,8,27304.325001078065
1,9,9,28941.238727882584
1,9,10,28969.541551165385
1,9,11,30194.917034890477
1,9,12,29078.04489721556
1,9,13,28303.070271620745
1,9,14,29445.390319701997
1,9,15,28794.605121753826
1,9,16,29139.896900206615
1,9,17,30284.378053074095
1,9,18,30074.550072787177
1,9,19,27847.875199154227
1,9,20,30039.451132230126
1,9,21,30078.389070135698
1,9,22,29597.52572915523
1,9,23,26407.096811396048
1,9,24,28987.376225626496
1,9,25,26262.40643083933
1,9,26,28912.167267964815
1,9,27,30997.762754733336
1,9,28,29676.728605191685
1,9,29,30833.39895054471
1,9,30,28468.815321946964
1,9,31,27380.779160621805
1,9,32,30315.963521658938
1,9,33,28538.492829326897
1,9,34,29689.710115798298
1,9,35,30004.391412202018
1,9,36,28087.200273719704
1,9,37,28966.572559737182
1,9,38,28383.563060306937
1,9,39,27259.660423336823
1,9,40,31302.95574313851
1,9,41,29695.063385749356
1,9,42,27824.915143866812
1,9,43,28460.426890572133
1,9,44,30650.087074322226
1,9,45,27523.368940741617
1,9,46,30369.439937944157
1,9,47,28403.426695787715
1,9,48,31173.34528182856
1,9,49,27021.487913189358
1,9,50,30276.463599489944
1,9,51,29203.547476634052
1,9,52,29368.760938009043
1,9,53,31415.82125330647
1,9,54,30714.836123880643
1,9,55,28191.00031511956
1,9,56,28863.359584725622
1,9,57,30083.939130240415
1,9,58,30301.111721100744
1,9,59,29966.192895003776
1,9,60,31285.861033552996
1,9,61,28609.2874508906
1,9,62,29840.353744594115
1,9,63,30290.830926624407
1,9,64,28954.912003306545
1,9,65,29138.044629853954
1,9,66,27785.59395366435
1,9,67,30171.55435452878
1,9,68,30786.544726462078
1,9,69,29722.737370224582
1,9,70,29897.388534985712
1,9,71,30330.736110342117
1,9,72,29398.473863718897
1,9,73,30313.335913898747
1,9,74,28690.17784709056
1,9,75,30215.038727233372
1,9,76,29763.443634199237
1,9,77,29476.773569406723
1,9,78,29199.56419391061
1,9,79,29596.467913228713
1,9,80,29028.167754826743
1,9,81,29694.55303684546
1,9,82,27066.689272334177
1,9,83,28836.71416461672
1,9,84,30292.740348837677
1,9,85,31263.061013283776
1,9,86,28044.077686524786
1,9,87,30563.477505259354
1,9,88,30135.302957156084
1,9,89,30206.103346099004
1,9,90,29044.58436572118
1,9,91,30740.85359913134
1,9,92,28050.47357788209
1,9,93,29587.407988809995
1,9,94,28573.786890479165
1,9,95,29448.943261331333
1,9,96,28564.31018363844
1,9,97,29458.254010396326
